DESCRIPTION,STATUS,DETAIL
Computing HKEY_CLASSES_ROOT,Ok,0.02%
Computing HKEY_CLASSES_ROOT,Ok,0.03%
Computing HKEY_CLASSES_ROOT,Ok,0.05%
Computing HKEY_CLASSES_ROOT,Ok,0.06%
Computing HKEY_CLASSES_ROOT,Ok,0.08%
Computing HKEY_CLASSES_ROOT,Ok,0.09%
Computing HKEY_CLASSES_ROOT,Ok,0.11%
Computing HKEY_CLASSES_ROOT,Ok,0.12%
Computing HKEY_CLASSES_ROOT,Ok,0.14%
Computing HKEY_CLASSES_ROOT,Ok,0.16%
Computing HKEY_CLASSES_ROOT,Ok,0.17%
Computing HKEY_CLASSES_ROOT,Ok,0.19%
Computing HKEY_CLASSES_ROOT,Ok,0.20%
Computing HKEY_CLASSES_ROOT,Ok,0.22%
Computing HKEY_CLASSES_ROOT,Ok,0.23%
Computing HKEY_CLASSES_ROOT,Ok,0.25%
Computing HKEY_CLASSES_ROOT,Ok,0.26%
Computing HKEY_CLASSES_ROOT,Ok,0.28%
Computing HKEY_CLASSES_ROOT,Ok,0.29%
Computing HKEY_CLASSES_ROOT,Ok,0.31%
Computing HKEY_CLASSES_ROOT,Ok,0.33%
Computing HKEY_CLASSES_ROOT,Ok,0.34%
Computing HKEY_CLASSES_ROOT,Ok,0.36%
Computing HKEY_CLASSES_ROOT,Ok,0.37%
Computing HKEY_CLASSES_ROOT,Ok,0.39%
Computing HKEY_CLASSES_ROOT,Ok,0.40%
Computing HKEY_CLASSES_ROOT,Ok,0.42%
Computing HKEY_CLASSES_ROOT,Ok,0.43%
Computing HKEY_CLASSES_ROOT,Ok,0.45%
Computing HKEY_CLASSES_ROOT,Ok,0.47%
Computing HKEY_CLASSES_ROOT,Ok,0.48%
Computing HKEY_CLASSES_ROOT,Ok,0.50%
Computing HKEY_CLASSES_ROOT,Ok,0.51%
Computing HKEY_CLASSES_ROOT,Ok,0.53%
Computing HKEY_CLASSES_ROOT,Ok,0.54%
Computing HKEY_CLASSES_ROOT,Ok,0.56%
Computing HKEY_CLASSES_ROOT,Ok,0.57%
Computing HKEY_CLASSES_ROOT,Ok,0.59%
Computing HKEY_CLASSES_ROOT,Ok,0.61%
Computing HKEY_CLASSES_ROOT,Ok,0.62%
Computing HKEY_CLASSES_ROOT,Ok,0.64%
Computing HKEY_CLASSES_ROOT,Ok,0.65%
Computing HKEY_CLASSES_ROOT,Ok,0.67%
Computing HKEY_CLASSES_ROOT,Ok,0.68%
Computing HKEY_CLASSES_ROOT,Ok,0.70%
Computing HKEY_CLASSES_ROOT,Ok,0.71%
Computing HKEY_CLASSES_ROOT,Ok,0.73%
Computing HKEY_CLASSES_ROOT,Ok,0.74%
Computing HKEY_CLASSES_ROOT,Ok,0.76%
Computing HKEY_CLASSES_ROOT,Ok,0.78%
Computing HKEY_CLASSES_ROOT,Ok,0.79%
Computing HKEY_CLASSES_ROOT,Ok,0.81%
Computing HKEY_CLASSES_ROOT,Ok,0.82%
Computing HKEY_CLASSES_ROOT,Ok,0.84%
Computing HKEY_CLASSES_ROOT,Ok,0.85%
Computing HKEY_CLASSES_ROOT,Ok,0.87%
Computing HKEY_CLASSES_ROOT,Ok,0.88%
Computing HKEY_CLASSES_ROOT,Ok,0.90%
Computing HKEY_CLASSES_ROOT,Ok,0.92%
Computing HKEY_CLASSES_ROOT,Ok,0.93%
Computing HKEY_CLASSES_ROOT,Ok,0.95%
Computing HKEY_CLASSES_ROOT,Ok,0.96%
Computing HKEY_CLASSES_ROOT,Ok,0.98%
Computing HKEY_CLASSES_ROOT,Ok,0.99%
Computing HKEY_CLASSES_ROOT,Ok,1.01%
Computing HKEY_CLASSES_ROOT,Ok,1.02%
Computing HKEY_CLASSES_ROOT,Ok,1.04%
Computing HKEY_CLASSES_ROOT,Ok,1.05%
Computing HKEY_CLASSES_ROOT,Ok,1.07%
Computing HKEY_CLASSES_ROOT,Ok,1.09%
Computing HKEY_CLASSES_ROOT,Ok,1.10%
